lot_id,name,start_price,appraised_price,region_code,property_group,is_closed,auction_cnt,is_single_step,no_docs,zaklad_percent,price_vs_appraised,duration_hours,red_flag_score,ensemble_score,xgb_prob,iso_anomaly,url,is_suspicious,flag_type,comment
23273831,KA1710234010/25-1 yer uchastkasi,10274761.14,51373805.652,UZ-QA,Yer uchastkalari,0,23,0,0,12.5,0.20000000018686567,-1.0,4.5,0.6274,0.9993106,0,https://e-auksion.uz/lot-view?lot_id=23273831,,,
23469207,Бўш ер участкаси - Y1735218-956834/001,508174.0,508174.0,UZ-SU,Dehqon xoʼjaligiga moʼljallangan yer uchastkalari,0,62,0,0,25.0,1.0,-1.0,2.5,0.0472,0.002484774,0,https://e-auksion.uz/lot-view?lot_id=23469207,,,
23365327,MG1730209055/109 yer uchastkasi,4660750.0,9510764.0,UZ-XO,Yer uchastkalari,0,41,0,0,25.0,0.49005001070366166,-1.0,4.5,0.6128,0.99910283,0,https://e-auksion.uz/lot-view?lot_id=23365327,,,
23068449,KA1714204037/32-1 yer uchastkasi,227371507.3,227371507.29999998,UZ-NW,Yer uchastkalari,0,1,1,0,5.0,1.0000000000000002,-1.0,5.5,0.7674,0.98842293,1,https://e-auksion.uz/lot-view?lot_id=23068449,,,
23098299,DONGFENG PASSENGER,265000000.0,265000000.0,UZ-AN,Avtotransport,0,1,1,1,5.0,1.0,-1.0,7.0,0.8964,0.9992842,1,https://e-auksion.uz/lot-view?lot_id=23098299,,,
23378479,"Ko`chma savdo joyi, Bino oldida - SX196186",116220.26,116220.26,UZ-QA,Koʻchma savdo joylari,0,1,1,0,50.0,1.0,-1.0,4.5,0.7324,0.9870091,1,https://e-auksion.uz/lot-view?lot_id=23378479,,,
23255802,Podshipnik 5x5,612136.0,1224271.0,UZ-QA,"""Oʻzpaxtasanoat"" AJ mol-mulklari",0,24,0,0,25.0,0.5000004084063088,-1.0,4.5,0.6235,0.99876034,0,https://e-auksion.uz/lot-view?lot_id=23255802,,,
23378852,MATIZ,43750000.0,43750000.0,UZ-XO,Avtotransport,0,1,1,1,5.0,1.0,-1.0,6.5,0.8991,0.99803585,1,https://e-auksion.uz/lot-view?lot_id=23378852,,,
23329747,MG1706246010/4 yer uchastkasi,62240105.38,207467017.932,UZ-SA,Yer uchastkalari,0,63,0,0,5.0,0.300000000001928,-1.0,5.5,0.7364,0.99874485,1,https://e-auksion.uz/lot-view?lot_id=23329747,,,
23374992,KA1722221033/30-1 yer uchastkasi,21213137.4,70710458.0,UZ-QR,Yer uchastkalari,0,20,0,0,7.5,0.3,-1.0,5.5,0.7027,0.99899024,0,https://e-auksion.uz/lot-view?lot_id=23374992,,,
