lot_number,lot_url,district,category,auction_settings,start_price,appraised_price,price_ratio,auction_count,is_suspicious,is_bankruptcy,no_discount,price_below_10pct,price_below_70pct,is_ultra_repeated,seller_lot_count
23452338,https://e-auksion.uz/lot-view?lot_id=23452338,O`zbekiston tumani,Yoshlarga dehqon xo‘jaligini yuritish uchun yer uchastkalari,Yoshlarga dehqon xo‘jaligini yuritish uchun yer uchastkalari,14077407.16,17596758.96,0.7999999995453708,3,0,0,0,0,0,0,3782
23136484,https://e-auksion.uz/lot-view?lot_id=23136484,Oltiariq tumani,Yengil,Odatiy sozlama,29031145.5,41473065.0,0.7,1,0,0,0,0,0,0,249
23468942,https://e-auksion.uz/lot-view?lot_id=23468942,O`zbekiston tumani,Dehqon xo‘jaligi yuritish uchun yer uchastkalarini ijaraga berish,Dehqon xo`jaligi yerlari(Auksion),16982491.68,21228114.6,0.7999999999999999,3,0,0,0,0,0,0,3782
23136611,https://e-auksion.uz/lot-view?lot_id=23136611,Bag`dod tumani,Yuk,Odatiy sozlama,50394133.3,71991619.0,0.7,1,0,0,0,0,0,0,249
23468962,https://e-auksion.uz/lot-view?lot_id=23468962,O`zbekiston tumani,Dehqon xo‘jaligi yuritish uchun yer uchastkalarini ijaraga berish,Dehqon xo`jaligi yerlari(Auksion),14673890.88,18342363.6,0.7999999999999999,3,0,0,0,0,0,0,3782
23172729,https://e-auksion.uz/lot-view?lot_id=23172729,Yozyovon tumani,Yuk,Odatiy sozlama,9502962.0,13575660.0,0.7,1,0,0,0,0,0,0,249
23468960,https://e-auksion.uz/lot-view?lot_id=23468960,O`zbekiston tumani,Dehqon xo‘jaligi yuritish uchun yer uchastkalarini ijaraga berish,Dehqon xo`jaligi yerlari(Auksion),17439317.28,21799146.6,0.8,3,0,0,0,0,0,0,3782
23468949,https://e-auksion.uz/lot-view?lot_id=23468949,O`zbekiston tumani,Dehqon xo‘jaligi yuritish uchun yer uchastkalarini ijaraga berish,Dehqon xo`jaligi yerlari(Auksion),17119539.36,21399424.2,0.8,3,0,0,0,0,0,0,3782
23468945,https://e-auksion.uz/lot-view?lot_id=23468945,O`zbekiston tumani,Dehqon xo‘jaligi yuritish uchun yer uchastkalarini ijaraga berish,Dehqon xo`jaligi yerlari(Auksion),17119539.36,21399424.2,0.8,3,0,0,0,0,0,0,3782
23468963,https://e-auksion.uz/lot-view?lot_id=23468963,Quva tumani,Dehqon xo‘jaligi yuritish uchun yer uchastkalarini ijaraga berish,Dehqon xo`jaligi yerlari(Auksion),9443890.4,11804863.0,0.8,3,0,0,0,0,0,0,3782
